14.88	0.1	2.0443331966	0.0185411065
16.236	0.1	2.1478117557	0.0203030243
17.836	0.1	2.4030685647	0.0249831174
19.76	0.1	2.9227926608	0.0359796326
21.784	0.1	4.3575556044	0.0765437589
23.808	0.1	7.1524412967	0.1985579721
25.592	0.1	9.8687763185	0.3715757125
27.736	0.1	13.150683958	0.6521886887
29.808	0.1	16.1267757202	0.9743638435
31.64	0.1	18.6798646841	0.3020680377
33.88	0.1	21.8169720337	0.7696311438
35.64	0.1	24.1667352205	1.1667182987
37.616	0.1	26.7196165933	1.6436318649
39.688	0.1	29.4355412023	1.2030269112
